Tue. Aug. 25, 2020             LANDSAT 5                 Time: 00:12
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51GNC1010097160101_HDF.202250957
Acquisition Date: Apr 07, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210390409_01   29.663223  -89.462943   -24.497      -0.248    -5.634     0.764    -5.590
0210390415_01   29.662532  -89.552805   -22.548       0.971    -3.185     1.526    -2.962
0210390427_01   29.663060  -89.581971   -24.949       0.233    -0.965     0.402    -0.909
0210390442_01   29.672581  -89.634515   -22.413      -5.179     6.347    -6.234     5.323
0210390621_01   29.718997  -89.540370   -34.281       1.736     3.682     1.050     3.935
0210390634_01   29.647870  -89.510320   -21.394       0.939     1.828     0.597     1.967
0210400001_01   29.405180  -89.780319   -20.207      -2.355    -0.814    -2.173    -1.222
0210400002_01   29.541171  -89.733890   -19.107      -1.996    -3.683    -1.306    -3.982
0210400006_01   29.179852  -89.256468   -22.000      -4.431     2.087    -4.735     1.262
0210400011_01   29.210787  -89.247512   -25.000       3.870    -4.475     4.610    -3.713
0210400025_01   29.370556  -89.534121   -31.626       5.489     4.679     4.566     5.586
0210400026_01   29.236861  -89.275616   -23.000      -6.078     3.877    -6.676     2.729
0210400034_01   29.272103  -89.351709   -21.335       6.428    -3.679     6.985    -2.472
0210400035_01   29.230477  -89.408437   -25.000       1.457     2.854     0.923     3.070
0210400036_01   29.062731  -89.218492   -24.000      -1.445     0.084    -1.437    -0.176
0210400038_01   29.113404  -89.114168   -24.000      -0.219     4.303    -0.985     4.195
0210400040_01   29.496497  -89.694032   -16.110       2.764    -0.344     2.783     0.155
0210400043_01   29.053618  -89.307960   -21.461      -1.282     5.213    -2.195     4.902
