==============================================================================
==============================================================================
Tue. Aug. 25 2020                  LANDSAT 5                       Time: 00:13
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 21 / 40
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.9%
Rank   2 --  4.1%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0210400243   29.71591    -89.65136     0.06      0.13     0.15     1 
0210400246   29.71785    -89.55283    -0.46     -0.34     0.57     2 
0210400247   29.71848    -89.51999     0.11     -0.22     0.25     1 
0210400319   29.69114    -89.61786    -0.13     -0.01     0.13     1 
0210400324   29.69429    -89.45367    -0.06     -0.43     0.44     1 
0210400325   29.69489    -89.42083    -0.08      0.04     0.08     1 
0210400393   29.66507    -89.65003     0.12     -0.05     0.13     1 
0210400394   29.66572    -89.61720    -0.03      0.00     0.03     1 
0210400395   29.66636    -89.58437    -0.03      0.05     0.06     1 
0210400396   29.66700    -89.55155    -0.15      0.07     0.16     1 
0210400399   29.66886    -89.45305    -0.45     -0.27     0.52     2 
0210400467   29.63898    -89.68218     0.20      0.16     0.26     1 
0210400469   29.64029    -89.61654    -0.15     -0.26     0.30     1 
0210400472   29.64220    -89.51808    -0.03     -0.48     0.48     1 
0210400615   29.58680    -89.74643    -0.05      0.07     0.09     1 
0210400616   29.58747    -89.71363    -0.03     -0.09     0.09     1 
0210400690   29.56137    -89.74574    -0.10      0.13     0.16     1 
0210400691   29.56205    -89.71295    -0.10      0.02     0.11     1 
0210400693   29.56337    -89.64737     0.16     -0.34     0.38     1 
0210400766   29.53663    -89.71227    -0.08      0.02     0.08     1 
0210400767   29.53729    -89.67949     0.00      0.01     0.01     1 
0210400770   29.53924    -89.58113    -0.15     -0.30     0.33     1 
0210400771   29.53987    -89.54834     0.18     -0.31     0.36     1 
0210400839   29.50985    -89.77714    -0.09      0.12     0.15     1 
0210400840   29.51053    -89.74437    -0.08     -0.00     0.08     1 
0210400842   29.51187    -89.67882    -0.12     -0.06     0.13     1 
0210400845   29.51381    -89.58049    -0.29      0.27     0.39     1 
0210400914   29.48443    -89.77645    -0.14      0.04     0.14     1 
0210400915   29.48511    -89.74368    -0.10      0.06     0.12     1 
0210400916   29.48578    -89.71092    -0.05      0.12     0.13     1 
0210400917   29.48644    -89.67815    -0.12      0.21     0.24     1 
0210400918   29.48710    -89.64538    -0.05     -0.04     0.07     1 
0210400919   29.48775    -89.61261     0.03     -0.05     0.05     1 
0210400920   29.48839    -89.57984    -0.11     -0.08     0.13     1 
0210400988   29.45832    -89.80851    -0.15      0.18     0.23     1 
0210400989   29.45901    -89.77576     0.37     -0.34     0.50     2 
0210400990   29.45969    -89.74300    -0.19      0.07     0.20     1 
0210400991   29.46036    -89.71024    -0.05      0.01     0.05     1 
0210400992   29.46102    -89.67748    -0.01     -0.06     0.06     1 
0210400993   29.46168    -89.64472    -0.16      0.06     0.17     1 
0210400995   29.46296    -89.57920    -0.05     -0.00     0.05     1 
0210400996   29.46359    -89.54643    -0.01     -0.08     0.08     1 
0210401063   29.43290    -89.80781    -0.08      0.17     0.19     1 
0210401064   29.43359    -89.77506    -0.13      0.07     0.15     1 
0210401065   29.43426    -89.74231    -0.12      0.08     0.14     1 
0210401066   29.43493    -89.70956    -0.06      0.00     0.06     1 
0210401067   29.43560    -89.67681    -0.19     -0.03     0.19     1 
0210401068   29.43625    -89.64406    -0.06     -0.02     0.06     1 
0210401071   29.43817    -89.54580    -0.15     -0.29     0.32     1 
0210401138   29.40748    -89.80711    -0.28      0.08     0.29     1 
0210401139   29.40816    -89.77437    -0.14      0.03     0.14     1 
0210401140   29.40884    -89.74163    -0.43      0.19     0.47     1 
0210401141   29.40951    -89.70889    -0.07      0.00     0.07     1 
0210401142   29.41017    -89.67615    -0.08      0.06     0.11     1 
0210401143   29.41083    -89.64340    -0.08      0.07     0.11     1 
