Mon. Aug. 24, 2020             LANDSAT 5                 Time: 21:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51GNC1010129160100_HDF.202250838
Acquisition Date: May 09, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210390420_01   29.710326  -89.623197   -17.582       2.471     1.276     2.204     1.697
0210390427_01   29.663060  -89.581971   -24.949      -3.119     0.644    -3.185     0.078
0210390429_01   29.679020  -89.700420   -19.650       1.361    -1.704     1.644    -1.435
0210390431_01   29.634274  -89.679683   -16.204      -1.416    -2.632    -0.923    -2.843
0210390436_01   29.658537  -89.684393   -19.021      -0.370    -0.281    -0.314    -0.342
0210390438_01   29.634858  -89.703866   -25.668       0.921    -1.743     1.218    -1.551
0210390441_01   29.682019  -89.673849   -23.151      -2.272    -5.420    -1.267    -5.741
0210390442_01   29.672581  -89.634515   -22.413      -4.405    -3.058    -3.790    -3.796
0210390623_01   29.641906  -89.690457   -18.503       0.231    -1.064     0.417    -1.006
0210390624_01   29.687087  -89.650446   -16.640       0.570     3.860    -0.130     3.902
0210390634_01   29.647870  -89.510320   -21.394      -3.454    -2.203    -3.006    -2.785
0210390635_01   29.624310  -89.663972   -16.595      -3.247     1.329    -3.434     0.729
0210400001_01   29.405180  -89.780319   -20.207      -0.718    -0.208    -0.669    -0.333
0210400006_01   29.179852  -89.256468   -22.000      -6.020     2.431    -6.360     1.317
0210400007_01   29.236465  -89.381439   -20.713      -2.186    -0.690    -2.029    -1.070
0210400008_01   29.317206  -89.389843   -35.666       1.867     0.425     1.762     0.752
0210400014_01   29.731766  -89.608525   -22.396      -1.540    -0.215    -1.478    -0.487
0210400015_01   29.253892  -89.357765   -22.000      -0.938     0.082    -0.938    -0.087
