Mon. Aug. 24, 2020             LANDSAT 5                 Time: 20:22
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51EDC1010145160100_HDF.202250806
Acquisition Date: May 25, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210390415_01   29.662532  -89.552805   -22.548       0.693    -3.476     1.305    -3.298
0210390420_01   29.710326  -89.623197   -17.582       3.318     0.238     3.224     0.827
0210390427_01   29.663060  -89.581971   -24.949      -0.611    -0.739    -0.468    -0.836
0210390429_01   29.679020  -89.700420   -19.650       1.184    -1.416     1.420    -1.182
0210390431_01   29.634274  -89.679683   -16.204      -1.435    -1.500    -1.143    -1.732
0210390436_01   29.658537  -89.684393   -19.021      -0.017     1.043    -0.202     1.025
0210390438_01   29.634858  -89.703866   -25.668       0.034    -1.316     0.269    -1.288
0210390441_01   29.682019  -89.673849   -23.151       0.629    -2.271     1.026    -2.123
0210390442_01   29.672581  -89.634515   -22.413      -4.348    -4.529    -3.470    -5.234
0210390621_01   29.718997  -89.540370   -34.281       0.206     3.567    -0.434     3.549
0210390623_01   29.641906  -89.690457   -18.503       0.359    -0.228     0.395    -0.160
0210390624_01   29.687087  -89.650446   -16.640       0.238     3.849    -0.454     3.832
0210390634_01   29.647870  -89.510320   -21.394      -0.578     2.253    -0.971     2.115
0210390635_01   29.624310  -89.663972   -16.595      -2.245     0.043    -2.217    -0.358
0210400001_01   29.405180  -89.780319   -20.207      -0.573     0.016    -0.567    -0.086
0210400002_01   29.541171  -89.733890   -19.107      -1.658    -2.867    -1.119    -3.118
0210400006_01   29.179852  -89.256468   -22.000      -5.543     1.369    -5.700     0.358
0210400007_01   29.236465  -89.381439   -20.713      -3.701     0.156    -3.671    -0.507
