==============================================================================
==============================================================================
Mon. Aug. 24 2020                  LANDSAT 5                       Time: 20:23
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 21 / 40
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0210400016   29.78569    -89.70656     0.10     -0.02     0.10     1 
0210400017   29.78636    -89.67369     0.03     -0.10     0.11     1 
0210400091   29.76027    -89.70587    -0.01     -0.12     0.12     1 
0210400092   29.76094    -89.67302     0.09      0.01     0.09     1 
0210400094   29.76225    -89.60730     0.09      0.04     0.10     1 
0210400096   29.76353    -89.54158     0.25     -0.10     0.27     1 
0210400165   29.73417    -89.73804     0.39      0.16     0.42     1 
0210400166   29.73485    -89.70519     0.00      0.03     0.03     1 
0210400167   29.73552    -89.67234    -0.01      0.01     0.01     1 
0210400240   29.70875    -89.73735     0.12      0.18     0.22     1 
0210400241   29.70943    -89.70451     0.04      0.07     0.08     1 
0210400242   29.71009    -89.67167     0.02      0.05     0.05     1 
0210400243   29.71075    -89.63883     0.02     -0.05     0.05     1 
0210400244   29.71140    -89.60599    -0.04     -0.11     0.12     1 
0210400245   29.71204    -89.57314    -0.12     -0.35     0.37     1 
0210400246   29.71268    -89.54030    -0.04     -0.18     0.18     1 
0210400248   29.71392    -89.47461    -0.07     -0.13     0.15     1 
0210400315   29.68333    -89.73666     0.03      0.06     0.07     1 
0210400316   29.68400    -89.70383     0.03     -0.00     0.03     1 
0210400317   29.68467    -89.67100    -0.02      0.02     0.03     1 
0210400318   29.68533    -89.63816     0.03      0.05     0.06     1 
0210400319   29.68598    -89.60533    -0.09     -0.16     0.19     1 
0210400321   29.68725    -89.53966    -0.02     -0.28     0.28     1 
0210400325   29.68971    -89.40831    -0.38     -0.23     0.44     1 
0210400390   29.65791    -89.73597     0.01      0.05     0.05     1 
0210400391   29.65858    -89.70315     0.00     -0.05     0.05     1 
0210400392   29.65925    -89.67032     0.00     -0.01     0.01     1 
0210400393   29.65990    -89.63750     0.09     -0.17     0.19     1 
0210400394   29.66055    -89.60468    -0.11     -0.04     0.12     1 
0210400395   29.66120    -89.57185    -0.31     -0.21     0.37     1 
0210400396   29.66183    -89.53902    -0.09     -0.18     0.20     1 
0210400465   29.63249    -89.73528     0.04      0.09     0.10     1 
0210400466   29.63316    -89.70247     0.02      0.06     0.06     1 
0210400467   29.63382    -89.66965     0.00      0.09     0.09     1 
0210400469   29.63513    -89.60402    -0.22     -0.25     0.33     1 
0210400491   29.64735    -88.88180     0.12      0.06     0.14     1 
0210400539   29.60638    -89.76740     0.02      0.08     0.09     1 
0210400540   29.60706    -89.73459     0.01      0.01     0.02     1 
0210400541   29.60774    -89.70179    -0.07      0.08     0.10     1 
0210400542   29.60840    -89.66898    -0.06     -0.12     0.13     1 
0210400543   29.60906    -89.63617    -0.09     -0.19     0.21     1 
0210400614   29.58096    -89.76671    -0.05      0.15     0.15     1 
0210400615   29.58164    -89.73391    -0.01      0.02     0.02     1 
0210400616   29.58231    -89.70111     0.02     -0.02     0.02     1 
0210400617   29.58298    -89.66831     0.03     -0.19     0.19     1 
0210400619   29.58428    -89.60271    -0.21     -0.33     0.39     1 
0210400621   29.58555    -89.53711    -0.17     -0.22     0.28     1 
0210400690   29.55622    -89.73322    -0.03      0.04     0.05     1 
0210400691   29.55689    -89.70043     0.01     -0.05     0.05     1 
0210400692   29.55755    -89.66764     0.06     -0.11     0.12     1 
0210400693   29.55821    -89.63485     0.05     -0.25     0.26     1 
0210400764   29.53012    -89.76532    -0.06     -0.13     0.14     1 
0210400765   29.53080    -89.73254    -0.06     -0.07     0.09     1 
0210400766   29.53147    -89.69976     0.02      0.03     0.03     1 
0210400767   29.53213    -89.66698     0.15     -0.07     0.16     1 
